person,entered_view_from_edge,left_view_via_edge,basis
0,1,1,frame edge (no door configured)
3,0,0,frame edge (no door configured)
10,0,0,frame edge (no door configured)
15,0,0,frame edge (no door configured)
16,0,0,frame edge (no door configured)
18,0,1,frame edge (no door configured)
26,0,0,frame edge (no door configured)
31,0,0,frame edge (no door configured)
32,0,0,frame edge (no door configured)
33,0,1,frame edge (no door configured)
