from_s,to_s,people_present_mean,people_present_max,arrivals,departures
0.0,10.0,0.14,1,2,1
10.0,20.0,0.92,1,0,0
20.0,30.0,1.02,2,2,2
30.0,40.0,0.64,2,2,3
40.0,50.0,0.23,1,1,0
50.0,60.0,0.81,1,2,3
60.0,70.0,0.0,0,0,0
70.0,80.0,0.28,1,1,1
80.0,90.0,0.01,1,1,1
90.0,100.0,0.15,1,1,1
100.0,110.0,0.59,1,1,0
110.0,116.9,0.2,1,1,2
